Audio Path,Segment Index,Plate Thickness,Electrode,Type of Current
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,24,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,25,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,26,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,27,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,28,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,29,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,30,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,31,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,32,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,33,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,34,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,35,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,36,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,37,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,38,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,39,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,40,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,41,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,42,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,43,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,44,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,45,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,46,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,47,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,48,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,49,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,50,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,51,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,52,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,53,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,54,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,55,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,56,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,57,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,58,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,59,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,60,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,61,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,62,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,63,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,64,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,65,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,66,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,67,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,68,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,69,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,70,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,71,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,72,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,73,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,74,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,75,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,76,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,77,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,78,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,79,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,80,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,81,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,82,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,83,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,84,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,85,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,86,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,87,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,88,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,89,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,90,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,91,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,92,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,93,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,94,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,95,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,96,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,97,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,98,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,99,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,100,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,101,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,102,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,103,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,104,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,105,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,106,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,107,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,108,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,109,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,110,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,111,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,112,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,113,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,114,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,115,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,116,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,117,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,118,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,119,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,120,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,121,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,122,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,123,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,124,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,125,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,126,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,127,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,128,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,129,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-134944_Audio/240902-134944_6013-2.wav,130,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,0,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,1,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,2,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,3,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,4,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,5,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,6,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,7,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,8,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,9,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,10,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,11,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,12,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,13,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,14,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,15,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,16,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,17,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,18,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,19,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,20,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,21,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,22,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,23,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,24,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,25,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,26,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,27,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,28,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,29,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,30,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,31,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,32,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,33,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,34,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,35,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,36,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,37,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,38,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,39,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,40,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,41,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,42,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,43,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,44,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,45,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,46,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,47,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,48,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,49,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,50,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,51,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,52,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,53,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,54,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,55,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,56,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,57,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,58,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,59,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,60,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,61,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,62,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,63,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,64,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,65,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,66,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,67,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,68,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,69,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,70,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,71,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,72,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,73,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,74,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,75,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,76,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,77,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,78,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,79,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,80,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,81,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,82,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,83,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,84,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,85,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,86,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,87,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,88,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,89,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,90,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,91,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,92,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,93,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,94,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,95,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,96,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,97,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,98,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,99,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,100,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,101,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,102,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,103,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,104,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,105,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,106,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,107,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,108,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,109,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,110,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,111,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,112,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,113,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,114,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,115,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,116,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,117,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,118,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,119,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,120,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,121,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,122,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,123,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,124,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,125,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,126,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,127,Placa_12mm,E6010,DC
audio/Placa_12mm/E6010/DC/240902-142431_Audio/240902-142431_6013-2.wav,128,Placa_12mm,E6010,DC
